count,provcat,description,higher-level category
28,3550,RADIATION ONCOLOGIST,THERAPEUTIC RADIOLOGY
517,2305,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
84,5934,PEDIATRIC NEUROSURGERY,NEUROLOGICAL SURGERY
41,2844,PEDIATRICIAN,PEDIATRICS
26,3576,ATHLETIC TRAINER,PHYSICAL THERAPY PROVIDER
25,2705,OCCUPATIONAL MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
3,1393,PEDIATRIC GENETICIST,GENETICS
16,1443,LEGAL MEDICINE SPECIALIST,OTHER PHYSICIAN SPECIALTY
1,2034,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
26,7277,OPTOMETRIST,OPTICIAN/OPTOMETRIST
23987047,0502,GENERAL SURGEON,GENERAL SURGERY
411942,5966,ALCOHOL AND DRUG ABUSE COUNSELOR,ADDICTION MEDICINE SPECIALIST
6452950,5992,HOSPITALIST,OTHER PHYSICIAN SPECIALTY
4714334,0585,INFECTIOUS DISEASES SPECIALIST,INFECTIOUS DISEASES
351651,0795,ORO-FACIAL PLASTIC SURGEON,PLASTIC & RECONSTRUCTIVE SURGERY
24177,4626,UNKNOWN PROVIDER TYPE,UNKNOWN
14438,0128,DOCTOR OF NAPROPATHY,OTHER NON-PHYSICIAN PROVIDER
13837,0436,PEDIATRIC CRITICAL CARE MEDICINE SPECIALIST,CRITICAL CARE MEDICINE
18,2783,HEMATOLOGIST/ONCOLOGIST,HEMATOLOGY & ONCOLOGY
81,1032,GENERAL HOSPITAL,GENERAL ACUTE-CARE HOSPITAL
77,0965,PEDIATRIC CARDIOTHORACIC SURGEON,THORACIC SURGERY
3451,6047,UNKNOWN SPECIALTY PHYSICIAN,OTHER NON-PHYSICIAN PROVIDER
624,3864,NURSE MIDWIFE,REGISTERED NURSE - MIDWIFE
178,1215,CLINIC,CLINIC/DAY CARE FACILITIES
471,6048,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
361,6033,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
1069,1900,MASSAGE THERAPIST,PHYSICAL THERAPY PROVIDER
91,1354,BLOOD BANKING/TRANSFUSION SERVICES,BLOOD SERVICES CENTER
383,3117,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
291,2219,FAMILY PRACTITIONER,FAMILY PRACTICE
23,2954,ALLERGIST,ALLERGY & IMMUNOLOGY
17,2140,PODIATRIST - NON-MD (BOARD CERTIFIED),PODIATRIST - NON-MD
91433705,0303,OBSTETRICIAN/GYNECOLOGIST,OBSTETRICS & GYNECOLOGY
3425495,0595,NEONATOLOGIST,NEONATOLOGY
27321855,0990,UROLOGIST,UROLOGY
4212961,0074,UNKNOWN FACILITY PROVIDER,UNKNOWN FACILITY PROVIDER
519444,0157,DENTIST - DMD,DENTIST
991543,0447,EMERGENCY MEDICINE (PHYSICIANS),EMERGENCY MEDICINE
877188,5951,PEDIATRIC EMERGENCY MEDICINE (PHYSICIANS),EMERGENCY MEDICINE
84526,1245,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
115959,1293,AUDIOLOGIST,AUDIOLOGIST
15215,0692,HOSPITAL PROFESSIONAL SERVICES,OTHER PHYSICIAN SPECIALTY
62631,0297,REPRODUCTIVE ENDOCRINOLOGIST,OBSTETRICS
56467,5930,CLINICAL NEUROPHYSIOLOGIST,NEUROLOGY
4431,1318,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
42367,0944,RADIATION ONCOLOGIST,THERAPEUTIC RADIOLOGY
2008,2682,DOCTOR OF NATUROPATHY,OTHER NON-PHYSICIAN PROVIDER
4890,1316,OPTOMETRIST,OPTICIAN/OPTOMETRIST
6033,0643,ORTHOPEDIC SURGEON,ORTHOPEDICS
1245,5787,PEDIATRIC ORTHOPEDIC SURGEON,ORTHOPEDICS
399,2198,HOMEOPATHY SPECIALIST,OTHER PHYSICIAN SPECIALTY
3293,1334,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
744,3688,CLINICAL MOLECULAR GENETICS,GENETICS
8868,6043,LACTATION SPECIALIST,OTHER NON-PHYSICIAN PROVIDER
454,3907,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
455,2126,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
455,2620,CHILD PSYCHIATRIST,PSYCHIATRY
39,1472,NURSING HOME,EXTENDED CARE FACILITIES
5,2613,FAMILY PRACTITIONER,FAMILY PRACTICE
13,2464,GENERAL DENTIST,DENTIST
15,2996,GENERAL PRACTITIONER,FAMILY PRACTICE
13733340,1513,X-RAY/RADIOLOGY FACILITY,INDEPENDENT RADIOLOGY
78447,2755,PEDIATRIC DERMATOLOGY,DERMATOLOGY
349527,4067,IMMUNOPATHOLOGIST,PATHOLOGY
55386,0898,NUCLEAR RADIOLOGIST,RADIOLOGY
47359,5296,WELLNESS SRVCS PROVIDER,PHARMACY
512553,4035,UNDERSEA MEDICINE,OTHER PHYSICIAN SPECIALTY
2567978,5292,PHYSICAL THERAPIST,PHYSICAL THERAPY PROVIDER
11717,0334,INTERNAL MEDICINE SELF REFERRAL - CAPITATED,INTERNAL MEDICINE
6081,0769,PEDIATRIC PATHOLOGIST,PATHOLOGY
36858,1155,PSYCHIATRIST,PSYCHIATRY
8715,5702,OBSTETRICIAN/GYNECOLOGIST,OBSTETRICS & GYNECOLOGY
1993,2005,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
7808,1650,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
2270,1409,CHILD PSYCHIATRIST,PSYCHIATRY
439,3485,BACHELOR OF SCIENCE,OTHER NON-PHYSICIAN PROVIDER
155,0921,PEDIATRIC RADIOLOGIST,RADIOLOGY
7,1875,GENERAL SURGEON,GENERAL SURGERY
89,1721,GENERAL PRACTITIONER,FAMILY PRACTICE
2,1284,ORTHODONTIST,ORTHODONTIST
3,6888,NEPHROLOGIST,NEPHROLOGY
5414377,5812,OPHTHALMOLOGIST,OPHTHALMOLOGY
339439,5794,REPRODUCTIVE ENDOCRINOLOGIST,OBSTETRICS
89785,1623,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
523660,1686,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
1293,0295,OBSTETRICIAN,OBSTETRICS
19508,4214,CERTIFIED DIABETIC EDUCATOR,OTHER NON-PHYSICIAN PROVIDER
10121,1133,INTERNIST/GENERAL INTERNIST,INTERNAL MEDICINE
14657,5918,PEDIATRIC OTOLARYNGOLOGIST,OTOLARYNGOLOGY
5327,1640,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
1427,1203,ORTHODONTIST,ORTHODONTIST
590,3815,CHEMICAL PATHOLOGIST,PATHOLOGY
858,3124,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
260,2216,ANESTHESIOLOGIST,ANESTHESIOLOGY
548,3542,PHYSICAL THERAPIST,PHYSICAL THERAPY PROVIDER
41,2353,CLINICAL SOCIAL WORKER/MENTAL HEALTH COUNSELOR,MENTAL HEALTH PROFESSIONAL
180,3242,CHILD PSYCHIATRIST,PSYCHIATRY
192,3043,GENERAL DENTIST,DENTIST
98,5355,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
12,0646,ORTHOPEDIC SURGEON - HAND SPECIALIST,ORTHOPEDICS
15,3115,PASTORAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
20,3433,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
15,0039,BLOOD BANKING,BLOOD SERVICES CENTER
6,2428,DIAGNOSTIC RADIOLOGIST,RADIOLOGY
26,1303,CLINICAL PATHOLOGIST,PATHOLOGY
679230,5959,PEDIATRIC RADIOLOGIST,RADIOLOGY
86383,0412,CARDIOVASCULAR DISEASE SPECIALIST,CARDIOLOGY
2347,0608,NEURO-SURGEON,NEUROLOGICAL SURGERY
25506,1396,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
68,0598,NEPHROLOGIST,NEPHROLOGY
98,1452,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
111,4399,CERTIFIED DIABETIC EDUCATOR,OTHER NON-PHYSICIAN PROVIDER
581,5385,PSYCHIATRIST,PSYCHIATRY
6,2354,FAMILY PRACTITIONER,FAMILY PRACTICE
126,2432,UNKNOWN NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
41,2550,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
271,0943,RADIATION ONCOLOGIST,THERAPEUTIC RADIOLOGY
1,0681,LEGAL MEDICINE SPECIALIST,OTHER PHYSICIAN SPECIALTY
140146250,0273,PHYSICAL THERAPY CENTER CODE,PHYSICAL THERAPY PROVIDER
4991130,0119,OPTOMETRIST,OPTICIAN/OPTOMETRIST
32931,0934,PEDIATRIC RHEUMATOLOGIST,RHEUMATOLOGY
726934,1855,X-RAY/RADIOLOGY,UNKNOWN
21903,0584,SURGICAL ONCOLOGIST,HEMATOLOGY & ONCOLOGY
4575,1189,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
693,1125,DERMATOLOGIST,DERMATOLOGY
395,6868,PEDIATRIC ENDOCRINOLOGIST,ENDOCRINOLOGY
1555,2007,PHYSICAL THERAPIST - MOVEMENT DISORDERS,PHYSICAL THERAPY PROVIDER
557,1760,PHYSICAL THERAPIST,PHYSICAL THERAPY PROVIDER
1369,1347,PSYCHIATRIST - PSYCHOANALYSIS,PSYCHIATRY
84,2394,NURSE MIDWIFE,REGISTERED NURSE - MIDWIFE
254,1910,GENERAL SURGEON,GENERAL SURGERY
7,2608,HOME HEALTH AGENCY- HOME HEALTH AIDE,HOME HEALTH AGENCY
2127,2204,CLINICAL SOCIAL WORKER,SOCIAL WORKER
94,1429,ENDOCRINOLOGIST (DIABETES SPECIALIST),ENDOCRINOLOGY
330,5682,CHIROPRACTOR,CHIROPRACTOR
491,5862,PLASTIC SURGEON - HEAD & NECK,PLASTIC & RECONSTRUCTIVE SURGERY
529,1440,ADDICTION MEDICINE SPECIALIST,ADDICTION MEDICINE SPECIALIST
23,2745,CLINICAL PATHOLOGIST,PATHOLOGY
1,2852,DERMATOLOGIST,DERMATOLOGY
61,4166,EARLY INTERVENTION,OTHER PHYSICIAN SPECIALTY
8,5772,PHYSICAL MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
1,0427,CRITICAL CARE MEDICINE SPECIALIST,CRITICAL CARE MEDICINE
9,6007,BEHAVIORAL ANALYST - AUTISM PROGRAM,MENTAL HEALTH PROFESSIONAL
25,3410,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
13,3621,REGISTERED NURSE,REGISTERED NURSE
42800984,0635,OPHTHALMOLOGIST,OPHTHALMOLOGY
2490270,0005,"HOSPITAL OUTPATIENT (LAB, XRAY)",GENERAL ACUTE-CARE HOSPITAL
3177014,1008,VASCULAR SURGEON,VASCULAR SURGERY
5019364,3872,LTAC - LONG TERM ACUTE CARE FACILITY,LTAC - LONG TERM ACUTE CARE FACILITY
610072,5977,AUDIOLOGIST,AUDIOLOGIST
551374,0609,PEDIATRIC NEUROLOGIST,NEUROLOGY
173543,1130,LACTATION SPECIALIST,OTHER NON-PHYSICIAN PROVIDER
4046408,1098,CHRONIC DISEASE HOSPITAL,UNKNOWN
1251633,1594,DRUG AND ALCOHOL REHABILITATION CENTER,MENTAL HEALTH/CHEMICAL DEPENDENCY FACILITIES
8840,0501,GENERAL SURGEON,GENERAL SURGERY
6413,0226,PASTORAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
1595,2635,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
64309,7520,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
217,1914,PATHOLOGIST,PATHOLOGY
771,1714,OTOLARYNGOLOGIST,OTOLARYNGOLOGY
3953,2297,MOLECULAR GENETIC PATHOLOGY,OTHER PHYSICIAN SPECIALTY
69,5686,GENERAL SURGEON,GENERAL SURGERY
1236,0871,PSYCHIATRIST - PSYCHOANALYSIS,PSYCHIATRY
224,0246,NURSE MIDWIFE,REGISTERED NURSE - MIDWIFE
10,6361,UNKNOWN SPECIALTY PHYSICIAN,OTHER NON-PHYSICIAN PROVIDER
5,2212,OCCUPATIONAL MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
75,3227,PEDIATRIC NUTRITION,NUTRITIONIST
5,2676,MOLECULAR GENETIC PATHOLOGY,OTHER PHYSICIAN SPECIALTY
1,5807,GENERAL DENTIST,DENTIST
27884290,1599,PEDIATRIC HOSPITAL,SPECIALTY ACUTE-CARE HOSPITAL
24071363,0461,ENDOCRINOLOGIST,ENDOCRINOLOGY
192707,0181,PERIODONTIST,PERIODONTIST
933075,5810,HEMATOLOGIST,HEMATOLOGY & ONCOLOGY
344711,6018,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
98711,4245,THERAPEUTIC RADIOLOGIST,THERAPEUTIC RADIOLOGY
10315,4281,PEDIATRIC NEUROSURGERY,NEUROLOGICAL SURGERY
57002,1569,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
1346,1845,PEDIATRICIAN,PEDIATRICS
465,0258,LICENSED PRACTICAL NURSE,VOCATIONAL/PRACTICAL NURSE
3476,1268,CHIROPRACTOR,CHIROPRACTOR
198,0693,LARYNGOLOGIST,OTOLARYNGOLOGY
94,5725,NUTRITIONIST,NUTRITIONIST
13,1194,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
6,6793,NURSE MIDWIFE,REGISTERED NURSE - MIDWIFE
13,2433,ORTHOPEDIC SURGEON,ORTHOPEDICS
2,6970,OCCUPATIONAL THERAPIST,OCCUPATIONAL THERAPY PROVIDER
6,1537,CARDIOVASCULAR SURGEON,VASCULAR SURGERY
1,6701,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
3,3065,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
51,3480,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL HEALTH",REGISTERED NURSE - PSYCHIATRIC
27,6178,ALLERGIST,ALLERGY & IMMUNOLOGY
38759974,0979,HOSPITALIST,OTHER PHYSICIAN SPECIALTY
2763657,4057,BACK AND SPINE SURGERY,GENERAL SURGERY
2970613,5844,OCCUPATIONAL THERAPIST,OCCUPATIONAL THERAPY PROVIDER
92952,1614,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
509,2509,UNKNOWN NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
3654,0594,NEONATOLOGIST,NEONATOLOGY
3403,0654,OSTEOPATHIC SPECIALIST,OSTEOPATHY
1492197,1287,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
449,0838,CHILD PSYCHIATRIST,PSYCHIATRY
3154,0957,PEDIATRIC CARDIOTHORACIC SURGEON,THORACIC SURGERY
797,1143,ENDOCRINOLOGIST,ENDOCRINOLOGY
378,0924,RADIOLOGICAL PHYSICIST,RADIOLOGY
4045,6039,PEDIATRIC NUTRITION,NUTRITIONIST
806,1515,UNDERSEAS MEDICINE SPECIALIST,PREVENTIVE MEDICINE
8425,3106,ATHLETIC TRAINER,PHYSICAL THERAPY PROVIDER
207,2746,SLEEP STUDY,OTHER PHYSICIAN SPECIALTY
349,0873,PSYCHIATRIST/NEUROLOGIST,PSYCHIATRY
38,2759,LICENSED PRACTICAL NURSE,VOCATIONAL/PRACTICAL NURSE
136,2449,REGISTERED NURSE,REGISTERED NURSE
25,2928,MASSAGE THERAPIST,PHYSICAL THERAPY PROVIDER
16,1785,FAMILY PRACTITIONER,FAMILY PRACTICE
17,1953,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
16,0875,PSYCHOSOMATIC MEDICINE SPECIALIST,PSYCHIATRY
62823407,0449,EMERGENCY MEDICINE (PHYSICIANS),EMERGENCY MEDICINE
1885133,5944,NUCLEAR RADIOLOGIST,RADIOLOGY
384269,0010,PSYCHIATRIC HOSPITAL,SPECIALTY ACUTE-CARE HOSPITAL
14662,1455,PSYCHOSOMATIC MEDICINE SPECIALIST,PSYCHIATRY
23903,0159,GENERAL DENTIST,DENTIST
98523,1309,DERMATOLOGY IMMUNOLOGIST,DERMATOLOGY
38296,4072,HEARING INSTRUMENT SPECIALIST,HEARING INSTRUMENT SPECIALIST
11844,2370,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
845,3619,UROLOGIST,UROLOGY
7964,1734,UNKNOWN NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
10759,2972,NURSING HOME,EXTENDED CARE FACILITIES
31,2807,REGISTERED NURSE,REGISTERED NURSE
120,5304,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
246,5759,HEMATOLOGIST,HEMATOLOGY & ONCOLOGY
191,2175,REGISTERED NURSE,REGISTERED NURSE
19,1797,ANESTHESIOLOGIST,ANESTHESIOLOGY
22,5720,EMERGENCY MEDICINE (PHYSICIANS),EMERGENCY MEDICINE
37,1659,PHLEBOLOGY,OTHER PHYSICIAN SPECIALTY
11,3589,ENDOCRINOLOGIST (DIABETES SPECIALIST),ENDOCRINOLOGY
2,3361,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
38,3216,REGISTERED NURSE,REGISTERED NURSE - PRACTITIONER
115,3045,LICENSED VOCATIONAL NURSE,REGISTERED NURSE
788,6640,NURSE MIDWIFE,REGISTERED NURSE - MIDWIFE
11,2343,RADIOLOGIST,RADIOLOGY
18,3886,PSYCHIATRIST,PSYCHIATRY
55,2197,PEDIATRICIAN,PEDIATRICS
1,2468,PSYCHIATRIST,PSYCHIATRY
9138101,0336,INTERNAL MEDICINE SPECIALIST,INTERNAL MEDICINE
3314736,0091,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
5265360,0641,ORTHOPEDIC SURGEON - HAND SPECIALIST,ORTHOPEDICS
7109462,0770,PATHOLOGIST,PATHOLOGY
595325,5774,FAMILY PRACTICE SPECIALIST,FAMILY PRACTICE
142995,0293,OBSTETRICIAN,OBSTETRICS
75969,0171,COSMOS DENTAL SPECIALIST,OTHER DENTAL SPECIALIST
64043,0139,UNKNOWN NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
7986,0889,PEDIATRIC PULMONARY DISEASE SPECIALIST,PULMONARY MEDICINE
3652,1781,PSYCHOANALYST,CLINICAL PSYCHOLOGY
1376,0523,CLINICAL CYTOGENETICIST,GENETICS
77,1965,SUBSTANCE ABUSE SERVICES,ADDICTION MEDICINE SPECIALIST
44,1632,CLINICAL SOCIAL WORKER,SOCIAL WORKER
16,2108,MASSAGE THERAPIST,PHYSICAL THERAPY PROVIDER
17,3312,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
1,6958,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
16,0337,INTERNAL MEDICINE SPECIALIST,INTERNAL MEDICINE
3,0712,RHINOLOGIST,OTOLARYNGOLOGY
30,3170,REGISTERED NURSE,REGISTERED NURSE
1,3137,CARDIOVASCULAR DISEASE SPECIALIST,CARDIOLOGY
3,2839,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
6,1514,EXTENDED CARE FACILITY,EXTENDED CARE FACILITIES
17930216,0368,ALLERGIST,ALLERGY & IMMUNOLOGY
2117445,5656,PEDIATRICIAN,PEDIATRICS
1147365,5704,NEURO-SURGEON,NEUROLOGICAL SURGERY
1632766,0342,INTERNAL MEDICINE SPECIALIST,INTERNAL MEDICINE
744847,0153,CLINICAL SOCIAL WORKER,SOCIAL WORKER
3716,0602,PEDIATRIC NEPHROLOGIST,NEPHROLOGY
434631,1243,OPTOMETRIST,OPTICIAN/OPTOMETRIST
25972,2150,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
6274,0251,PSYCHIATRIC AND MENTAL HEALTH NURSE,REGISTERED NURSE - PSYCHIATRIC
18,0926,RADIOLOGICAL PHYSICIST,RADIOLOGY
23666,1164,SPINAL CORD INJURY MEDICINE,NEUROLOGY
1160,0123,BACHELOR OF SCIENCE,OTHER NON-PHYSICIAN PROVIDER
643,2106,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
2165,5059,REGISTERED NURSE ANESTHETIST,REGISTERED NURSE - ANESTHETIST
2081,3685,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
19771,0050,URGENT CARE CENTER,EMERGENCY CARE
280,3861,HEARING INSTRUMENT SPECIALIST,HEARING INSTRUMENT SPECIALIST
1100,4828,PSYCHIATRIC NURSE SPECIALIST,REGISTERED NURSE - PSYCHIATRIC
499,3751,PEDIATRIC NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
66,6179,OTHER NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
1316,1226,CHIROPRACTOR,CHIROPRACTOR
84,0377,DIAGNOSTIC IMMUNOLOGIST,ALLERGY & IMMUNOLOGY
392,1167,THORACIC/CARDIOVASCULAR SURGEON,THORACIC SURGERY
3,4020,CARDIOLOGIST,CARDIOLOGY
232,1843,MASTER OF SOCIAL WORK,SOCIAL WORKER
153,3579,PHARMACIST,PHARMACY
291,5776,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
26,4290,CLINICAL SOCIAL WORKER,SOCIAL WORKER
12,2078,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
13348507,4407,ANATOMICAL/CLINICAL PATHOLOGIST,PATHOLOGY
739524,6028,NEONATOLOGIST,NEONATOLOGY
1550193,0070,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
373797,0347,ADOLESCENT PEDIATRIC SPECIALIST,PEDIATRICS
436155,0576,PEDIATRIC HEMATOLOGIST/ONCOLOGIST,HEMATOLOGY & ONCOLOGY
98873,0304,OBSTETRICIAN/GYNECOLOGIST,OBSTETRICS & GYNECOLOGY
88741,0421,PEDIATRIC CARDIOLOGIST,CARDIOLOGY
112054,1670,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
259608,0216,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
46564,0519,PEDIATRIC GENERAL SURGEON,GENERAL SURGERY
1588,5683,FAMILY PRACTITIONER,FAMILY PRACTICE
5179,3213,FAMILY PLANNING,OTHER NON-PHYSICIAN PROVIDER
1710,0505,GENERAL SURGEON - HEAD AND NECK SPECIALIST,GENERAL SURGERY
14707,1446,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
4219,0407,CARDIOLOGIST,CARDIOLOGY
2555,1336,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
1706,0083,HOME HEALTH AGENCY- HOME HEALTH AIDE,HOME HEALTH AGENCY
995,2184,OCCUPATIONAL MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
12328,5601,GERIATRIC PSYCHIATRIST,PSYCHIATRY
6651,1677,MASTER OF SOCIAL WORK,SOCIAL WORKER
2101,4829,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL HEALTH",REGISTERED NURSE - PSYCHIATRIC
13,6733,CERTIFIED DIABETIC EDUCATOR,OTHER NON-PHYSICIAN PROVIDER
145,2369,OBSTETRICIAN/GYNECOLOGIST,OBSTETRICS & GYNECOLOGY
13,2378,GENERAL PRACTITIONER,FAMILY PRACTICE
766,2541,PAIN MANAGEMENT SPECIALIST,ANESTHESIOLOGY
102,5406,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
621,3095,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
25,5969,PERSONAL CARE AID,OTHER NON-PHYSICIAN PROVIDER
121604279,0929,RADIOLOGIST,RADIOLOGY
1776369,0422,COLON & RECTAL SURGEON,COLON & RECTAL SURGERY
184994,0601,PEDIATRIC NEPHROLOGIST,NEPHROLOGY
1254419,3620,OTHER MEDICINE SPECIALIST,OTHER PHYSICIAN SPECIALTY
2318027,5753,CLINICAL SOCIAL WORKER,SOCIAL WORKER
377840,0330,GENERAL PRACTITIONER,FAMILY PRACTICE
215180,0496,GENERAL SURGEON - HEAD AND NECK SPECIALIST,GENERAL SURGERY
163730,1195,PODIATRIST - NON-MD,PODIATRIST - NON-MD
25379,1110,PEDIATRIC REHABILITATION MEDICINE,PEDIATRICS
28983,2321,AEROSPACE MEDICINE SPECIALIST,PREVENTIVE MEDICINE
112465,0839,GERIATRIC PSYCHIATRIST,PSYCHIATRY
3286,1236,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
13575,1132,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
87,1254,OPTICIAN,OPTICIAN/OPTOMETRIST
2446,2124,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
13943,0042,CLINIC,CLINIC/DAY CARE FACILITIES
3275,0204,PSYCHOANALYST,CLINICAL PSYCHOLOGY
4471,2912,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
12,1966,CLINICAL SOCIAL WORKER/MENTAL HEALTH COUNSELOR,MENTAL HEALTH PROFESSIONAL
106,2748,PHYSICAL THERAPIST,PHYSICAL THERAPY PROVIDER
569,3448,PEDIATRIC SPEECH PATHOLOGY,SPEECH THERAPY PROVIDER
219,3421,ATHLETIC TRAINER,PHYSICAL THERAPY PROVIDER
116,7325,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
2,2845,UNKNOWN NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
9,0021,HOSPICE,HOSPICE
102,4092,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
14,2539,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
10,2831,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
10,2592,MASTER OF SOCIAL WORK,SOCIAL WORKER
1,5092,AREA AGENCY ON AGING_TEST ORG 091,UNKNOWN FACILITY PROVIDER
16,4668,PERSONAL CARE AID,OTHER NON-PHYSICIAN PROVIDER
1,2098,OPTOMETRIST,OPTICIAN/OPTOMETRIST
68,2938,PAIN MANAGEMENT SPECIALIST,ANESTHESIOLOGY
5,1016,URGENT CARE CENTER - HOSPITAL-BASED,EMERGENCY CARE
14,3204,MEDICAL DIRECTOR,OTHER PHYSICIAN SPECIALTY
5,7310,MARRIAGE AND FAMILY SOCIAL WORKER,SOCIAL WORKER
5198158,0306,OBSTETRICS/GYNECOLOGY SPECIALIST,OBSTETRICS & GYNECOLOGY
1685825,0290,MATERNAL & FETAL MEDICINE SPECIALIST,OBSTETRICS
1601530,5691,CLINICAL PSYCHOLOGIST,CLINICAL PSYCHOLOGY
57701,2193,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
210800,0289,GYNECOLOGIST,GYNECOLOGY
41625,0818,PUBLIC HEALTH SPECIALIST,PREVENTIVE MEDICINE
